category,title,description,resource,region,statusWord,message
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,us-east-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,us-east-2,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,us-west-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,us-west-2,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-south-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-northeast-3,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ca-central-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-central-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-west-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-west-2,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-west-3,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,eu-north-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-northeast-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-northeast-2,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-southeast-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-southeast-2,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,sa-east-1,FAIL,Access Analyzer is not configured
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,us-east-1,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,us-east-2,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,us-west-1,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,us-west-2,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-south-1,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-northeast-3,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ca-central-1,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-central-1,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-west-1,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-west-2,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-west-3,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-north-1,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-northeast-1,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-northeast-2,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-southeast-1,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-southeast-2,OK,No IAM Access Analyzer analyzers found
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,sa-east-1,OK,No IAM Access Analyzer analyzers found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,us-east-1,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,us-east-2,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,us-west-1,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,us-west-2,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-south-1,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-northeast-3,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ca-central-1,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-central-1,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-west-1,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-west-2,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-west-3,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-north-1,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-northeast-1,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-northeast-2,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-southeast-1,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-southeast-2,OK,No ACM certificates found
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,sa-east-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-east-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-east-2,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-west-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-west-2,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-south-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-northeast-3,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ca-central-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-central-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-west-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-west-2,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-west-3,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-north-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-northeast-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-northeast-2,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-southeast-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-southeast-2,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,sa-east-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-east-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-east-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-west-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-west-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-south-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-northeast-3,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ca-central-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-central-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-west-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-west-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-west-3,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-north-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-northeast-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-northeast-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-southeast-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-southeast-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,sa-east-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,us-east-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,us-east-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,us-west-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,us-west-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-south-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-northeast-3,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ca-central-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-central-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-west-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-west-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-west-3,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-north-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-northeast-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-northeast-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-southeast-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-southeast-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,sa-east-1,OK,No ACM certificates found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-east-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-east-2,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-west-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-west-2,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-south-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-northeast-3,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ca-central-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-central-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-west-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-west-2,OK,No App Mesh meshes found
